[test.wav]	31028
ih	557
t	1002
y	1226
uw	1262
z	1372
d	1408
t	1445
ax	1478
l	1545
ao	1574
r	1634
iy	1664
l	1755
eh	1811
r	1924
iy	1980
ax	2150
_	2263
m	2323
ih	2367
s	2456
t	2500
ey	2545
k	2678
ih	2723
ng	2812
ax	2902
_	3111
d	3511
y	3570
uw	3630
ax	3809
l	3929
b	3990
ey	4043
s	4204
ih	4258
k	4365
m	4419
uw	4513
v	4797
z	4892
_	4987
g	5117
ow	5184
f	5386
ao	5448
r	5572
w	5635
ax	5697
d	5821
_	5884
t	6035
ay	6108
m	6330
ae	6404
f	6510
t	6563
ax	6616
t	6723
ay	6792
m	7002
r	7073
ay	7182
t	7511
_	7621
y	8080
uw	8114
k	8220
ax	8264
n	8354
p	8400
uh	8451
sh	8606
ah	8709
n	8769
uw	8821
k	8978
eh	9047
m	9187
ih	9257
k	9396
ax	9466
l	9606
_	9676
ax	9756
n	9885
d	9950
b	10016
r	10060
ih	10105
ng	10195
ih	10285
t	10357
ao	10395
n	10467
ax	10505
t	10575
aa	10632
p	10806
ih	10864
t	11096
_	11213
ao	11612
l	11764
s	11842
ow	11939
_	12231
y	12291
uw	12340
m	12490
ey	12532
p	12660
uh	12706
sh	12846
ax	12939
b	13039
aa	13110
m	13326
_	13398
dh	13857
ax	13916
eh	14037
k	14133
s	14182
ih	14230
t	14327
ax	14376
v	14488
m	14546
ay	14585
s	14706
t	14790
aa	14875
k	15129
_	15214
ih	15384
n	15481
k	15530
r	15579
iy	15628
s	15774
t	15823
f	15873
ay	15949
ax	16178
t	16332
uw	16366
b	16471
l	16528
ow	16586
ih	16761
t	17007
_	17130
ah	17569
p	17688
ax	17749
n	17868
p	17928
ao	17981
r	18088
t	18142
ax	18196
l	18303
w	18357
ih	18386
l	18446
t	18477
ih	18576
p	18776
ao	18876
r	18982
t	19036
r	19081
ih	19127
k	19219
t	19265
uw	19282
dh	19335
ah	19368
k	19435
ax	19484
n	19584
eh	19634
k	19733
t	19783
ih	19833
d	19933
ao	19984
r	20095
ih	20150
n	20261
jh	20317
p	20373
ao	20436
r	20563
t	20627
ax	20690
l	20817
_	20881
y	21400
uw	21465
z	21663
dh	21730
ax	21769
t	21849
r	21894
ih	21940
k	22032
w	22079
ax	22131
z	22235
t	22288
uw	22325
eh	22438
n	22540
ey	22591
b	22744
l	22795
dh	22847
iy	22886
eh	23007
l	23108
ax	23159
v	23260
ey	23311
t	23463
ax	23513
_	23615
ax	24124
n	24230
eh	24284
l	24368
ax	24411
v	24495
ey	24538
t	24665
ax	24707
k	24793
ax	24832
n	24912
k	24952
ae	24997
r	25088
iy	25134
ao	25272
n	25358
y	25401
uw	25436
k	25544
iy	25580
ax	25688
k	25760
ao	25869
l	26089
_	26199
dh	26618
ih	26682
s	26812
k	26878
ax	26915
n	26989
ih	27028
n	27134
k	27187
l	27240
uw	27293
d	27452
s	27506
aa	27574
r	27781
jh	27850
ax	27918
n	28056
t	28125
ao	28195
r	28290
iy	28338
ax	28481
l	28576
_	28624
g	29143
aa	29218
d	29444
s	29519
p	29594
iy	29669
d	29895
_	29971
m	30140
ih	30184
s	30273
t	30317
ey	30362
k	30495
ih	30540
ng	30629
ax	30719
_	30928

